AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
9.000	3.000	0.249	0.339	8.000	0.021	75.125	0.645	0.012	0.002	0.031	0.034	0.033	0.034	12.644	3.167	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-eng	
20.000	15.000	0.500	0.134	3.000	0.029	78.000	0.901	0.309	0.353	0.272	0.100	0.077	0.122	34.084	38.317	?	0.000	0.000	1.000	0.000	1.000	no	eng-eng	
27.000	23.000	0.668	0.005	41.000	0.477	98.854	0.971	0.952	0.972	0.948	0.840	0.778	0.875	8.075	10.150	?	0.000	0.000	1.000	1.000	1.000	yes	eng-eng	
29.500	22.000	0.721	0.184	18.000	0.121	90.889	0.852	0.731	0.911	0.688	0.367	0.222	0.429	0.273	0.150	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
9.000	3.000	0.257	0.363	0.000	0.000	0.000	0.000	0.195	0.005	0.261	0.057	0.031	0.071	4.369	10.817	0.000	0.000	0.000	0.000	?	1.000	no	eng-eng	
10.000	7.000	0.631	0.550	12.000	0.132	78.083	0.702	0.629	0.706	0.587	0.276	0.159	0.395	14.454	1.767	0.000	0.000	0.000	0.000	?	1.000	yes	eng-eng	
20.500	12.000	0.596	0.322	38.000	0.362	92.605	0.815	0.904	0.940	0.884	0.615	0.607	0.622	10.507	0.017	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
37.500	27.000	0.482	0.102	29.000	0.170	66.517	0.882	0.152	0.201	0.128	0.135	0.192	0.104	0.171	1.867	0.778	1.000	0.750	0.000	?	1.000	yes	eng-spa	
25.500	24.000	0.482	0.303	36.000	0.191	64.222	0.765	0.161	0.249	0.119	0.127	0.286	0.060	3.667	0.583	0.857	1.000	0.917	0.000	?	1.000	yes	eng-spa	
8.500	5.000	0.389	0.165	4.000	0.031	26.000	0.599	0.150	0.000	0.155	0.068	0.000	0.091	4.064	63.367	?	0.000	0.000	0.000	?	1.000	no	deu-spa	
14.000	12.000	0.476	0.096	21.000	0.280	35.952	0.889	0.030	0.000	0.043	0.033	0.000	0.053	29.295	39.800	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.000	5.000	0.389	0.325	8.000	0.051	22.625	0.655	0.043	0.044	0.050	0.056	0.075	0.037	280.825	770.917	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
9.500	9.000	0.494	0.399	21.000	0.152	69.667	0.687	0.384	0.497	0.285	0.189	0.400	0.111	57.717	27.667	?	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
23.500	19.000	0.711	0.265	45.000	0.321	70.822	0.783	0.338	0.494	0.328	0.194	0.167	0.200	13.783	9.017	?	0.000	0.000	0.000	?	1.000	yes	eng-spa	
16.500	12.000	0.721	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	64.741	50.733	?	0.000	0.000	0.000	?	1.000	no	eng-spa	
21.500	11.000	0.674	0.443	32.000	0.410	84.438	0.743	0.755	0.908	0.689	0.361	0.353	0.364	1.598	0.533	0.000	0.000	0.000	0.000	1.000	1.000	yes	spa-spa	
33.500	11.000	0.666	0.059	0.000	0.000	0.000	0.000	0.015	0.081	0.000	0.021	0.056	0.000	3.559	5.317	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
10.500	8.000	0.466	0.272	1.000	0.008	74.000	0.417	0.281	0.413	0.241	0.208	0.174	0.224	2.290	5.350	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
20.500	1.000	0.491	0.149	11.000	0.153	30.636	0.701	0.037	0.000	0.052	0.037	0.000	0.053	0.246	6.200	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
9.500	5.000	0.390	0.229	2.000	0.013	56.000	0.589	0.140	0.248	0.100	0.072	0.074	0.071	15.987	1.850	0.000	0.000	0.000	0.000	?	1.000	yes	deu-eng	
17.000	13.000	0.544	0.194	8.000	0.023	46.500	0.721	0.077	0.011	0.096	0.049	0.056	0.043	3.813	17.800	?	0.000	0.000	0.000	?	1.000	no	deu-spa	
5.500	1.000	0.542	0.618	3.000	0.015	33.333	0.584	0.014	0.000	0.030	0.020	0.000	0.034	38.484	23.500	?	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
30.000	1.000	0.494	0.032	10.000	0.059	21.600	0.779	0.024	0.000	0.035	0.018	0.000	0.034	228.302	5.583	?	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
12.500	1.000	0.521	0.400	4.000	0.021	69.250	0.587	0.009	0.040	0.003	0.020	0.024	0.017	394.904	8.183	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
9.000	4.000	0.490	0.596	0.000	0.000	0.000	0.000	0.005	0.000	0.007	0.009	0.000	0.017	413.582	1.917	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
10.500	1.000	0.482	0.448	13.000	0.094	63.769	0.628	0.189	0.039	0.211	0.087	0.080	0.091	19.613	18.033	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
4.000	3.000	0.321	0.355	45.000	0.233	56.911	0.512	0.335	0.104	0.388	0.131	0.094	0.154	23.400	4.633	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
14.000	11.000	0.468	0.281	6.000	0.023	50.333	0.713	0.593	0.782	0.263	0.113	0.172	0.071	27.013	14.517	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
16.500	1.000	0.491	0.360	1.000	0.008	20.000	0.328	0.080	0.000	0.106	0.020	0.000	0.034	23.803	117.083	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
12.000	11.000	0.582	0.261	3.000	0.035	63.667	0.866	0.024	0.076	0.002	0.041	0.051	0.034	86.753	80.433	0.000	0.000	0.000	0.000	?	1.000	no	deu-spa	
23.000	14.000	0.693	0.453	0.000	0.000	0.000	0.000	0.029	0.117	0.000	0.035	0.074	0.000	371.564	3.633	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
8.500	7.000	0.477	0.355	5.000	0.028	88.000	0.625	0.289	0.598	0.057	0.154	0.277	0.053	98.987	225.900	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
12.000	1.000	0.517	0.376	2.000	0.011	22.000	0.661	0.000	0.000	0.000	0.000	0.000	0.000	236.565	21.600	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
26.000	5.000	0.598	0.051	0.000	0.000	0.000	0.000	0.005	0.000	0.010	0.015	0.000	0.019	337.819	11.800	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
28.000	6.000	0.558	0.021	2.000	0.010	39.000	0.785	0.196	0.480	0.057	0.062	0.103	0.034	40.219	0.933	?	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
7.500	3.000	0.303	0.408	0.000	0.000	0.000	0.000	0.032	0.000	0.042	0.032	0.000	0.053	77.644	33.950	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
17.500	5.000	0.599	0.539	1.000	0.010	42.000	0.396	0.007	0.023	0.000	0.010	0.025	0.000	34.580	31.067	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
3.500	3.000	0.353	0.352	0.000	0.000	0.000	0.000	0.109	0.000	0.134	0.040	0.000	0.071	13.454	12.133	?	0.000	0.000	0.000	?	1.000	no	eng-spa	
9.500	8.000	0.575	0.515	54.000	0.300	17.944	0.653	0.000	0.000	0.000	0.000	0.000	0.000	146.270	19.733	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
7.500	5.000	0.597	0.395	0.000	0.000	0.000	0.000	0.023	0.012	0.026	0.017	0.018	0.017	12.190	7.983	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
11.500	11.000	0.390	0.240	3.000	0.017	71.333	0.643	0.229	0.387	0.095	0.083	0.167	0.021	43.005	47.967	0.000	0.000	0.000	0.000	1.000	1.000	no	eng-spa	
16.500	9.000	0.629	0.518	12.000	0.086	56.667	0.710	0.100	0.000	0.155	0.056	0.000	0.091	17.814	10.850	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
10.000	7.000	0.482	0.476	0.000	0.000	0.000	0.000	0.098	0.115	0.091	0.072	0.073	0.071	83.836	55.483	0.000	0.000	0.000	0.000	1.000	1.000	no	eng-spa	
25.000	14.000	0.482	0.094	47.000	0.470	79.787	0.808	0.370	0.337	0.388	0.195	0.267	0.149	16.040	27.333	0.500	1.000	0.625	0.000	?	1.000	yes	deu-eng	
11.500	6.000	0.621	0.538	0.000	0.000	0.000	0.000	0.027	0.000	0.029	0.028	0.000	0.034	4.943	0.450	0.500	1.000	0.714	0.000	?	1.000	no	eng-spa	
29.500	17.000	0.692	0.102	17.000	0.472	90.588	0.863	0.770	0.884	0.760	0.473	0.400	0.500	78.368	3.867	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-deu	
25.000	19.000	0.603	0.004	68.000	0.636	93.250	0.929	0.990	0.996	0.986	0.787	1.000	0.412	3.560	1.067	?	0.000	0.000	0.000	0.000	1.000	yes	spa-spa	
12.500	12.000	0.441	0.215	0.000	0.000	0.000	0.000	0.673	0.690	0.653	0.175	0.250	0.114	16.070	0.833	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
8.000	5.000	0.422	0.281	0.000	0.000	0.000	0.000	0.007	0.000	0.011	0.030	0.000	0.043	6.217	39.333	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.500	12.000	0.461	0.257	1.000	0.003	79.000	0.701	0.668	0.753	0.408	0.189	0.304	0.137	33.002	26.917	?	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
15.000	12.000	0.643	0.350	53.000	0.249	65.302	0.723	0.520	0.576	0.505	0.152	0.200	0.111	18.892	8.367	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
22.000	6.000	0.566	0.175	8.000	0.072	21.125	0.744	0.007	0.000	0.010	0.012	0.000	0.017	114.208	39.833	?	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
20.000	5.000	0.587	0.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.019	30.750	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
13.500	13.000	0.627	0.508	63.000	0.534	40.476	0.661	0.040	0.183	0.000	0.041	0.105	0.000	7.886	21.500	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
8.000	4.000	0.501	0.510	35.000	0.292	32.886	0.599	0.215	0.000	0.252	0.043	0.000	0.071	54.710	35.717	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
8.500	8.000	0.477	0.264	4.000	0.026	77.000	0.710	0.396	0.000	0.507	0.077	0.000	0.128	10.585	11.967	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
22.500	15.000	0.708	0.212	5.000	0.043	80.400	0.852	0.288	0.688	0.146	0.161	0.281	0.091	12.788	16.067	?	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
8.000	5.000	0.527	0.533	0.000	0.000	0.000	0.000	0.041	0.054	0.026	0.043	0.091	0.017	245.827	1.917	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
30.000	28.000	0.545	0.203	32.000	0.062	70.750	0.778	0.184	0.191	0.174	0.167	0.188	0.154	0.461	12.883	0.750	1.000	0.750	0.000	0.000	1.000	yes	eng-spa	
